T[0]: 0.000000, 0.000000 i
T[1]: 0.000164, 0.012758 i
T[2]: 0.000042, 0.006382 i
T[3]: 0.000019, 0.004257 i
T[4]: 0.000011, 0.003196 i
T[5]: 0.000008, 0.002559 i
T[6]: 0.000005, 0.002136 i
T[7]: 0.000004, 0.001833 i
T[8]: 0.000003, 0.001607 i
T[9]: 0.000003, 0.001431 i
T[10]: 0.000003, 0.001291 i
T[11]: 0.000002, 0.001177 i
T[12]: 0.000002, 0.001082 i
T[13]: 0.000002, 0.001001 i
T[14]: 0.000002, 0.000933 i
T[15]: 0.000002, 0.000874 i
T[16]: 0.000001, 0.000822 i
T[17]: 0.000001, 0.000777 i
T[18]: 0.000001, 0.000737 i
T[19]: 0.000001, 0.000701 i
T[20]: 0.000001, 0.000669 i
T[21]: 0.000001, 0.000641 i
T[22]: 0.000001, 0.000615 i
T[23]: 0.000001, 0.000591 i
T[24]: 0.000001, 0.000570 i
T[25]: 0.000001, 0.000550 i
T[26]: 0.000001, 0.000532 i
T[27]: 0.000001, 0.000516 i
T[28]: 0.000001, 0.000501 i
T[29]: 0.000001, 0.000487 i
T[30]: 0.000001, 0.000474 i
T[31]: 0.000001, 0.000463 i
T[32]: 0.000001, 0.000452 i
T[33]: 0.000001, 0.000441 i
T[34]: 0.000001, 0.000432 i
T[35]: 0.000001, 0.000423 i
T[36]: 0.000001, 0.000415 i
T[37]: 0.000001, 0.000408 i
T[38]: 0.000001, 0.000401 i
T[39]: 0.000001, 0.000395 i
T[40]: 0.000001, 0.000389 i
T[41]: 0.000001, 0.000383 i
T[42]: 0.000001, 0.000378 i
T[43]: 0.000001, 0.000373 i
T[44]: 0.000001, 0.000369 i
T[45]: 0.000001, 0.000365 i
T[46]: 0.000001, 0.000362 i
T[47]: 0.000000, 0.000358 i
T[48]: 0.000000, 0.000355 i
T[49]: 0.000000, 0.000353 i
T[50]: 0.000000, 0.000350 i
T[51]: 0.000000, 0.000348 i
T[52]: 0.000000, 0.000346 i
T[53]: 0.000000, 0.000345 i
T[54]: 0.000000, 0.000343 i
T[55]: 0.000000, 0.000342 i
T[56]: 0.000000, 0.000341 i
T[57]: 0.000000, 0.000341 i
T[58]: 0.000000, 0.000340 i
T[59]: -0.000000, 0.000340 i
T[60]: -0.000000, 0.000341 i
T[61]: -0.000000, 0.000341 i
T[62]: -0.000000, 0.000342 i
T[63]: -0.000000, 0.000342 i
T[64]: -0.000000, 0.000344 i
T[65]: -0.000000, 0.000345 i
T[66]: -0.000000, 0.000347 i
T[67]: -0.000001, 0.000349 i
T[68]: -0.000001, 0.000351 i
T[69]: -0.000001, 0.000353 i
T[70]: -0.000001, 0.000356 i
T[71]: -0.000001, 0.000359 i
T[72]: -0.000001, 0.000362 i
T[73]: -0.000001, 0.000366 i
T[74]: -0.000001, 0.000370 i
T[75]: -0.000002, 0.000374 i
T[76]: -0.000002, 0.000379 i
T[77]: -0.000002, 0.000384 i
T[78]: -0.000002, 0.000390 i
T[79]: -0.000002, 0.000396 i
T[80]: -0.000003, 0.000403 i
T[81]: -0.000003, 0.000410 i
T[82]: -0.000003, 0.000417 i
T[83]: -0.000004, 0.000425 i
T[84]: -0.000004, 0.000434 i
T[85]: -0.000004, 0.000444 i
T[86]: -0.000005, 0.000454 i
T[87]: -0.000005, 0.000465 i
T[88]: -0.000006, 0.000477 i
T[89]: -0.000007, 0.000490 i
T[90]: -0.000007, 0.000504 i
T[91]: -0.000008, 0.000520 i
T[92]: -0.000009, 0.000536 i
T[93]: -0.000010, 0.000555 i
T[94]: -0.000011, 0.000575 i
T[95]: -0.000013, 0.000596 i
T[96]: -0.000014, 0.000620 i
T[97]: -0.000016, 0.000647 i
T[98]: -0.000018, 0.000676 i
T[99]: -0.000020, 0.000709 i
T[100]: -0.000023, 0.000745 i
T[101]: -0.000027, 0.000787 i
